banner_id,brand,brand_slug,type,position,device,order,enabled,original_filename,github_upload_path,image_url,target_url_can_sua,drive_source_folder,drive_file_url
top_vertical_01_left,TOP,top,vertical,left_floating,desktop,1,True,TOP_CPD-WC2026_150x500.gif,assets/library/top/vertical/TOP_CPD-WC2026_150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/top/vertical/TOP_CPD-WC2026_150x500.gif,https://link-cua-anh.com/top/vertical/01,3. DỌC,https://drive.google.com/file/d/1MUbcHuqGLBZ9agu6DZhZUEfxa_E_KLtz/view?usp=drivesdk
va_vertical_02_right,VA,va,vertical,right_floating,desktop,2,False,CPD_VA_WORLDCUP26_150x500.gif,assets/library/va/vertical/CPD_VA_WORLDCUP26_150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/va/vertical/CPD_VA_WORLDCUP26_150x500.gif,https://link-cua-anh.com/va/vertical/02,3. DỌC,https://drive.google.com/file/d/1hlflFduG5BgMICaODsqIreAIsB_DSJhj/view?usp=drivesdk
ox_vertical_03_left,OX,ox,vertical,left_floating,desktop,3,False,OX_CPD_WC_150x500.gif,assets/library/ox/vertical/OX_CPD_WC_150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/ox/vertical/OX_CPD_WC_150x500.gif,https://link-cua-anh.com/ox/vertical/03,3. DỌC,https://drive.google.com/file/d/1OXLnwgUvzTnLKoUYH3Ddsi5HLSrWDwLE/view?usp=drivesdk
11bet_vertical_04_right,11BET,11bet,vertical,right_floating,desktop,4,False,CPD_11BET_WC_160x600.gif,assets/library/11bet/vertical/CPD_11BET_WC_160x600.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/11bet/vertical/CPD_11BET_WC_160x600.gif,https://link-cua-anh.com/11bet/vertical/04,3. DỌC,https://drive.google.com/file/d/1q8YPhXV_x9XDClqmcMD98kw5jMhHWp8k/view?usp=drivesdk
nbet_vertical_05_left,NBET,nbet,vertical,left_floating,desktop,5,False,NBET_CPD_WC26_160x500.gif,assets/library/nbet/vertical/NBET_CPD_WC26_160x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/nbet/vertical/NBET_CPD_WC26_160x500.gif,https://link-cua-anh.com/nbet/vertical/05,3. DỌC,https://drive.google.com/file/d/1-R17jTqlle_65prIttzhlOHKLgDq-Oer/view?usp=drivesdk
fb_vertical_06_right,FB,fb,vertical,right_floating,desktop,6,False,FB_CPD_WC26_150x500.gif,assets/library/fb/vertical/FB_CPD_WC26_150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/fb/vertical/FB_CPD_WC26_150x500.gif,https://link-cua-anh.com/fb/vertical/06,3. DỌC,https://drive.google.com/file/d/13q3N69DW8aH3B13E10IVKK7Cd5zTLYIZ/view?usp=drivesdk
bec_vertical_07_left,BEC,bec,vertical,left_floating,desktop,7,False,BEC_CPD_WC26_150X500.gif,assets/library/bec/vertical/BEC_CPD_WC26_150X500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/bec/vertical/BEC_CPD_WC26_150X500.gif,https://link-cua-anh.com/bec/vertical/07,3. DỌC,https://drive.google.com/file/d/1ttrIZ8V-y1xoJMReRtoAqi3hpid-sobT/view?usp=drivesdk
388bet_vertical_08_right,388BET,388bet,vertical,right_floating,desktop,8,False,388BET_CPD-WC_150x500.gif,assets/library/388bet/vertical/388BET_CPD-WC_150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/388bet/vertical/388BET_CPD-WC_150x500.gif,https://link-cua-anh.com/388bet/vertical/08,3. DỌC,https://drive.google.com/file/d/1wMHkz7xPUjDeo_Oda7N7sOCKTpCg5gjl/view?usp=drivesdk
big_vertical_09_right,BIG,big,vertical,right_floating,desktop,9,True,BIG_CPD-WC2026_150x500.gif,assets/library/big/vertical/BIG_CPD-WC2026_150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/big/vertical/BIG_CPD-WC2026_150x500.gif,https://link-cua-anh.com/big/vertical/09,3. DỌC,https://drive.google.com/file/d/16YJ6lTyZVx8rKp2nF3xXbyfWdBOoXh3R/view?usp=drivesdk
fc_vertical_10_right,FC,fc,vertical,right_floating,desktop,10,False,FC_CPD_WC26_150x500.gif,assets/library/fc/vertical/FC_CPD_WC26_150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/fc/vertical/FC_CPD_WC26_150x500.gif,https://link-cua-anh.com/fc/vertical/10,3. DỌC,https://drive.google.com/file/d/1mGSSaeVpJnpn7nI0VH8e2pvnL2NxlbM8/view?usp=drivesdk
ld_vertical_11_left,LD,ld,vertical,left_floating,desktop,11,False,LD_CPD_WC_V2_150x500.gif,assets/library/ld/vertical/LD_CPD_WC_V2_150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/ld/vertical/LD_CPD_WC_V2_150x500.gif,https://link-cua-anh.com/ld/vertical/11,3. DỌC,https://drive.google.com/file/d/12St-4U7QqgnzVc08-md5J8F6yTQ8bM88/view?usp=drivesdk
tot_vertical_12_right,TOT,tot,vertical,right_floating,desktop,12,False,TOT_CPD-WC-2026_160x600.gif,assets/library/tot/vertical/TOT_CPD-WC-2026_160x600.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/tot/vertical/TOT_CPD-WC-2026_160x600.gif,https://link-cua-anh.com/tot/vertical/12,3. DỌC,https://drive.google.com/file/d/1uoxc2AY1BDky55ZluXu7xW7Y1QUwldhP/view?usp=drivesdk
iwin_vertical_13_left,IWIN,iwin,vertical,left_floating,desktop,13,False,IWIN_CPD_WC26_150x500.gif,assets/library/iwin/vertical/IWIN_CPD_WC26_150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/iwin/vertical/IWIN_CPD_WC26_150x500.gif,https://link-cua-anh.com/iwin/vertical/13,3. DỌC,https://drive.google.com/file/d/1Z6dXxfiqrdN4fVFVG03SktBeRQAgAYCc/view?usp=drivesdk
vj_vertical_14_right,VJ,vj,vertical,right_floating,desktop,14,False,VJ_CPD_WC2026_150x500.gif,assets/library/vj/vertical/VJ_CPD_WC2026_150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/vj/vertical/VJ_CPD_WC2026_150x500.gif,https://link-cua-anh.com/vj/vertical/14,3. DỌC,https://drive.google.com/file/d/1fxlsQAltBnD1HlDp4l0ajZWMmG_mvbBl/view?usp=drivesdk
one88_vertical_15_left,ONE88,one88,vertical,left_floating,desktop,15,False,One88_CPD_WC26_130x300.gif,assets/library/one88/vertical/One88_CPD_WC26_130x300.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/one88/vertical/One88_CPD_WC26_130x300.gif,https://link-cua-anh.com/one88/vertical/15,3. DỌC,https://drive.google.com/file/d/1jWxkl1Rj8YPrT6G_sQLGvXxYRy_xjwIF/view?usp=drivesdk
db_vertical_16_right,DB,db,vertical,right_floating,desktop,16,False,DB_CPD_wc26_150x500.gif,assets/library/db/vertical/DB_CPD_wc26_150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/db/vertical/DB_CPD_wc26_150x500.gif,https://link-cua-anh.com/db/vertical/16,3. DỌC,https://drive.google.com/file/d/1Z6W0-uUjHmHchHYGIbc-Y3lTjxSCw3ah/view?usp=drivesdk
ta88_vertical_17_left,TA88,ta88,vertical,left_floating,desktop,17,False,TA88_CPD_WC_150x500.gif,assets/library/ta88/vertical/TA88_CPD_WC_150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/ta88/vertical/TA88_CPD_WC_150x500.gif,https://link-cua-anh.com/ta88/vertical/17,3. DỌC,https://drive.google.com/file/d/1ZmaHEM0fRUGIvMMRswc_mkbthTFpzstB/view?usp=drivesdk
lk88_vertical_18_right,LK88,lk88,vertical,right_floating,desktop,18,False,LK88_CPD_WC26_150x500.gif,assets/library/lk88/vertical/LK88_CPD_WC26_150x500.gif,https://baner-meo-beo-cpu.github.io/banner-library/assets/library/lk88/vertical/LK88_CPD_WC26_150x500.gif,https://link-cua-anh.com/lk88/vertical/18,3. DỌC,https://drive.google.com/file/d/1A_yZqQUafJR0kNRMkM1OMa2hBK3f-chz/view?usp=drivesdk
